goos: darwin
goarch: arm64
pkg: github.com/swonky/set/setbench
cpu: Apple M1
BenchmarkBuildFromSlice/Stable/128-8       	  442270	      2631 ns/op	   11976 B/op	      17 allocs/op
BenchmarkBuildFromSlice/Stable/128-8       	  445617	      2597 ns/op	   11976 B/op	      17 allocs/op
BenchmarkBuildFromSlice/Stable/128-8       	  451376	      2629 ns/op	   11976 B/op	      17 allocs/op
BenchmarkBuildFromSlice/Set/1024-8         	  110974	     10427 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Set/1024-8         	  113732	     10411 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Set/1024-8         	  113758	     10434 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Set/1024-8         	  108970	     10424 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Set/1024-8         	  112735	     10401 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Frozen/1024-8      	  111249	     10609 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Frozen/1024-8      	  111709	     10634 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Frozen/1024-8      	  111502	     10776 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Frozen/1024-8      	  107719	     10725 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Frozen/1024-8      	  112239	     10593 ns/op	   36992 B/op	       6 allocs/op
BenchmarkBuildFromSlice/Stable/1024-8      	   58069	     20495 ns/op	   99224 B/op	      25 allocs/op
BenchmarkBuildFromSlice/Stable/1024-8      	   58185	     20313 ns/op	   99224 B/op	      25 allocs/op
BenchmarkBuildFromSlice/Stable/1024-8      	   58275	     20342 ns/op	   99224 B/op	      25 allocs/op
BenchmarkBuildFromSlice/Stable/1024-8      	   58605	     20271 ns/op	   99224 B/op	      25 allocs/op
BenchmarkBuildFromSlice/Stable/1024-8      	   58744	     20310 ns/op	   99224 B/op	      25 allocs/op
BenchmarkBuildFromSlice/Set/10000-8        	   10000	    108669 ns/op	  295602 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Set/10000-8        	   10000	    108702 ns/op	  295601 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Set/10000-8        	   10000	    110471 ns/op	  295601 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Set/10000-8        	   10000	    109899 ns/op	  295602 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Set/10000-8        	   10000	    109954 ns/op	  295601 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Frozen/10000-8     	   10000	    113297 ns/op	  295601 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Frozen/10000-8     	   10000	    111727 ns/op	  295601 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Frozen/10000-8     	   10000	    110811 ns/op	  295601 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Frozen/10000-8     	   10000	    110288 ns/op	  295602 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Frozen/10000-8     	   10000	    111245 ns/op	  295601 B/op	      34 allocs/op
BenchmarkBuildFromSlice/Stable/10000-8     	    5386	    216627 ns/op	  948864 B/op	      88 allocs/op
BenchmarkBuildFromSlice/Stable/10000-8     	    5409	    226181 ns/op	  948863 B/op	      88 allocs/op
BenchmarkBuildFromSlice/Stable/10000-8     	    5401	    216231 ns/op	  948862 B/op	      88 allocs/op
BenchmarkBuildFromSlice/Stable/10000-8     	    5373	    217036 ns/op	  948862 B/op	      88 allocs/op
BenchmarkBuildFromSlice/Stable/10000-8     	    5324	    217232 ns/op	  948863 B/op	      88 allocs/op
BenchmarkContainsHit/Set/8-8               	233822449	         5.123 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/8-8               	232663329	         5.136 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/8-8               	233272725	         5.120 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/8-8               	234120378	         5.130 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Set/8-8               	234088579	         5.251 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/8-8            	227573140	         5.229 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/8-8            	234255945	         5.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/8-8            	234096286	         5.117 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/8-8            	234202606	         5.124 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Frozen/8-8            	234281709	         5.124 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/8-8            	311995579	         3.840 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainsHit/Stable/8-8            	312093796	         3.852 ns/op	       0 B/op	       0 allocs/op
